,id,comment,label
17,028227a9-35a1-45f2-b461-e8003f513e85,天，还有蚊子，份量太太太太少了，老大你这个好几十哦，全是西海椒和芹菜，老板这样做生意不好哦,1
34,04cf9ff2-7dc2-4534-8293-5b3e8a1a4fd0,太差了，还有蚊子在饭里面,1
267,23588a56-3545-4662-9145-07727ac294a1,老板 你自己看看 还有蚊子 ,1
339,2bf857c0-64b1-4e69-b764-e0e09c91933d,真的无语了，素米线没有了也就算了，盒子都变小了，以前就觉得汤还挺好喝的，今天送来糊都糊了，最恶心的是还翻到个蚊子,1
348,2d2a7dec-dbe8-4e8a-86b2-054b312fd927,我日嘛啥子几把情况嘛，又不是第一次点了，吃除了一个蚊子大的哪种，还有一个小虫子，还有一根成头发，媳妇直接吃欧了，搞麻批搞,1
548,47018145-a03a-4ec3-8198-59c2405d25a6,吃到了小蚊子，昨天室友也吃到了小蚊子，有图为证,1
608,4faa2c6c-1695-4b3e-9f30-fad052319295,一打开就是一个蚊子…无语,1
1544,c51a662d-a1ce-480e-8c9d-134c0f6a0f59,米饭味道可以 但是里面吃到两个大蚊子，另外包子也没有。,1
1753,e011b67f-f36f-4817-93ea-f1ecb68d6efe,去了两次，人太多，团购的上菜较慢，有苍蝇兄也有蚊子兄，总的来说算不错了！喜欢喝老鸭汤主要！,0
1922,f58da388-2b25-4ab3-98a0-50cfc8b48a75,里面吃到两只蚊子，当时没想评论的，但是又不想忍了,1
74,0bcecc70-d71f-456c-9454-91bef78ce710,除了尖椒鸡外，其他图片与实物完全不符，全是干辣椒，而且土豆片中有葱有蒜台，感觉像是几个菜混合的像是剩菜样,0
164,17248a15-82b6-4263-be2f-7153588b92b3,这家店我自己去吃过好多次，还是第一次吃到这么难吃全是糊味，鸡还是馊的的情况。打电话给店家告诉她鸡是馊的她不承认，好吧那只能自认倒霉，结果马上又看到一坨兔子上绑着一条扯都扯不掉的红色线，十公分长，请问我是蚕吗？要吐丝？店家说退我十块钱，呵呵一顿不愉快的饭，图一剩下就是我们没在吃了，你觉得十块钱够补上这顿60的饭吗。,1
229,1e777e24-2d71-477a-a235-9f0b70efd02c,饭像没熟样 好像昨天的剩饭 一点都不好吃,0
245,2068b33b-28e1-45e9-a7dc-565486eb2f59,一个小时前刚从他们店里点了大盘鸡盖面，然后吃出来了一只虫子，剩下的半碗全扔掉了，关键是店家的态度，太让人生气了，还不承认，还给我说是菜叶子，有见过长脚长眼睛的菜叶子吗？更何况我点的餐就没有菜，如果肯定是菜叶子，干嘛要急着销毁证据，把我的筷子抢过去扔垃圾桶，再说我又没眼瞎着，分不清菜叶还是虫子，这家店的卫生极其不达标，大家以后就餐还是注意点，这份餐是给送餐员点的，今天重庆下大雨，看他们好辛苦，就给他们点了两份饭，今天写出这个评价，是希望大家以后可以擦亮眼，不要让那些不干不净的东西影响了我们的身体健康,1
299,26979a0b-b1ce-42c0-a7f6-e917387367cc,来了好几次了，味道还不错，两个人，吃的好饱，还剩不少,0
529,436463b5-6de1-4f38-b941-881924a38766,这是第二次团购这家的汤锅了，第一次去感觉还不错，第二次就继续回购了。位置依旧好找，对于熟悉南坪的人来说就是轻车熟路了，不太了解的可以问一下，位置还是挺当道的，好找。吃腻了火锅什么的，来吃一次汤锅，很舒服。这一次吃的腊排骨，里面配菜有藕还有玉米，我们两个人去吃还有剩下的菜，排骨还是挺多的，汤真的很好喝，两个人吃饱饱的。而且团购价格真的是很实惠。建议去吃的人，选择红椒的拌料，青椒味道还是要差一点，偏辣。值得一提的是红椒真的很好吃，下饭都可以，建议商家可以推出更多的团购套餐哦。,0
560,484a0fcb-edfa-4afd-ba4d-df4455123b83,菜品很不新鲜，感觉是前一天剩下的  位置好找把喜欢那里的汤圆还有洋芋饭,1
642,53b9fa78-5682-4c80-b00d-5897e45c8393,味道挺好的，就是我们吃不了辣，剩了很多,0
715,5d9b4caa-9576-435c-a16b-0fc2176f5ea0,嗯，去吃了以后感觉非常不错，分量也比较多，我们4个人去吃了，还没有吃完还剩了很多，比较经济便宜实惠。,0
761,62f322e7-c7cd-4740-8eb6-39e96d78227e,#椒盐皮皮虾#没肉，而且咸的发苦，巨咸无比！吃了一只剩下的全部都浪费了#香辣耗儿鱼#一个字“咸”而且特别干，跟鱼干差不多。。。反正超级难吃！,0
1264,a34d591d-04cd-4e6c-ba1d-41ae7b03935f,菜不新鲜 要的是微辣 鹌鹑蛋都不新鲜 特别是里面有块血旺都是臭的唯独一块不知道是不是别人剩的我直接丢了 不想吃了 太坑人了 ,1
1335,abae73cc-75d6-4067-b981-305ad76535d9,一如既往的好。味道好，6个人吃还剩了好多,0
1411,b58fe56c-6b0b-4c0a-98d3-a4029a85f4e9,我们两个人团的这个四人餐，剩了四个菜基本没吃就已经吃到撑了。味道很赞，老板也很好，还送了一壶银耳汤，就是吃到后头有些咸。,0
1660,d30ad34d-6a55-4afc-8345-cacc8d7de322,该位置很好找，就在中渝爱都会的门口，我们九点过才去吃，没有排队，味道很好吃，我们两个人吃的中辣，感觉好辣呀，都没吃好多，剩了很多菜没有动，服务员的态度也很不错，我们说辣得很，他就想办法给我们加了点东西就没那么辣了，菜量非常足，值得去，下次继续支持，菜品新鲜,0
1675,d59e3961-db6d-49df-9734-b90887b1e522,好评！价格很实惠，分量很足，我们3个人吃的4人餐，还剩了很多，味道不错，老板很热情，还送了一份酥肉，推荐！,0
1680,d625d540-39aa-4336-b054-98fb52806383,#酱肉汤包##鲜肉汤包#这两个汤包绝对是剩的吧，吃在嘴里全是怪味，闻了一下都臭了，变质了，还拿来卖？,1
1682,d667fe6c-9a62-4858-8a03-646105290975,味道不错，面块很好吃。四个人吃的，剩了些,0
1730,dd79133b-d131-4dc9-85a1-6fb36961e852,我想说你不送我小菜就不送，给我送个馊的是什么意思？我从来点外面没有碰到过你们这种商家，把馊的弄来给我们，饭一打开，味道简直是十里飘香……艹。  什么东西都是剩的那种感觉。#台湾1号卤肉饭便当##〈双拼〉奥尔良鸡排十牛肉饼#,1
1744,df6442aa-7564-4393-95e8-690724b27003,两个人团了三人餐，我们俩算是胃口很大的了，吃的还有剩，1只足够了。最开始看着量不大，但真的份儿足味正，实惠！老鸭汤味道好极了，很大一锅。如果胃口较大，选择这个三人餐正好，下次还会来。啊服务态度也很好，服务员都很客气。,0
1749,dfc6c040-3aef-42ac-85ae-467db9ec878d,河粉全是节节，花了17块感觉吃的全是剩菜。品相巨糟糕，吃了几口，就扔了，要吐了……全是节节，没找到一根完整的河粉，且口味不好，全是香料味道。遂差评之。,0
1767,e1d0e5e3-79bc-45d0-9e85-c2742c6375e0,是人吃的吗？剩饭，剩菜，,0
